fgc,min,rec,rem,work
138,10,1,138,26333
138,10,1,138,26521
138,10,1,138,26477
138,10,1,138,26487
138,9,1,138,26608
138,10,1,138,26277
138,11,1,138,26439
138,11,1,138,26603
138,9,1,138,26608
138,11,1,138,26467
138,11,1,138,26411
138,10,1,138,26295
138,11,1,138,26567
138,11,1,138,26356
138,10,1,138,26302
138,10,1,138,26328
138,8,1,138,26333
138,11,1,138,26354
138,11,1,138,26490
138,11,1,138,26474
138,10,1,138,26366
138,10,1,138,26381
138,10,1,138,26416
138,10,1,138,26372
138,10,1,138,26505
138,11,1,138,26590
138,10,1,138,26413
138,10,1,138,26598
138,10,1,138,26706
138,10,1,138,26457
138,10,1,138,26380
138,10,1,138,26339
138,10,1,138,26271
138,9,1,138,26569
138,11,1,138,26264
138,11,1,138,26558
138,10,1,138,26572
138,10,1,138,26441
138,10,1,138,26370
138,10,1,138,26370
138,10,1,138,26551
138,11,1,138,26590
138,10,1,138,26320
138,11,1,138,26566
138,9,1,138,26465
138,10,1,138,26504
138,11,1,138,26770
138,11,1,138,26540
138,10,1,138,26305
138,10,1,138,26322
138,11,1,138,26518
138,11,1,138,26445
138,11,1,138,26575
138,9,1,138,26667
138,11,1,138,26514
138,11,1,138,26267
138,8,1,138,26699
138,11,1,138,26391
138,10,1,138,26263
138,11,1,138,26580
138,10,1,138,26407
138,9,1,138,26359
138,11,1,138,26469
138,10,1,138,26646
138,10,1,138,26315
138,10,1,138,26415
138,11,1,138,26207
138,7,1,138,26416
138,8,1,138,26650
138,10,1,138,26282
138,11,1,138,26472
138,10,1,138,26280
138,10,1,138,26426
138,9,1,138,26766
138,10,1,138,26603
138,9,1,138,26506
138,11,1,138,26489
138,10,1,138,26468
138,11,1,138,26445
138,10,1,138,26367
138,11,1,138,26506
138,10,1,138,26163
138,10,1,138,26461
138,10,1,138,26340
138,9,1,138,26272
138,11,1,138,26591
138,10,1,138,26620
138,10,1,138,26496
138,9,1,138,26657
138,11,1,138,26280
