fgc,min,rec,rem,work
16,15,1,16,32431
16,15,1,16,32347
16,15,1,16,32460
16,15,1,16,32375
16,15,1,16,32281
15,15,1,15,32363
16,16,1,15,32478
15,15,1,15,32345
16,15,1,16,32242
16,16,1,15,32447
15,15,1,15,32335
16,16,1,15,32479
17,16,1,17,32571
16,16,1,16,32683
15,15,1,15,32420
16,15,1,16,32280
16,15,1,16,32219
16,16,1,15,32430
16,15,1,16,32546
15,15,1,15,32273
16,15,1,16,32443
16,16,1,15,32279
15,15,1,15,32402
16,16,1,16,32578
16,16,1,15,32738
16,15,1,16,32530
15,15,1,15,32500
15,15,1,15,32454
17,16,1,17,32719
15,15,1,15,32421
15,15,1,15,32483
16,16,1,15,32495
16,15,1,16,32373
15,15,1,15,32498
16,16,1,15,32437
16,6,1,16,32490
16,16,1,15,32511
16,16,1,15,32624
15,15,1,15,32322
16,15,1,16,32521
16,16,1,15,32408
15,15,1,15,32323
16,15,1,16,32372
16,16,1,15,32603
16,16,1,16,32222
16,16,1,16,32527
16,16,1,15,32474
15,15,1,15,32332
16,16,1,15,32383
15,15,1,15,32150
15,15,1,15,32341
16,16,1,16,32404
16,16,1,15,32496
15,15,1,15,32587
16,16,1,15,32688
16,15,1,16,32444
16,15,1,16,32743
16,16,1,15,32324
15,15,1,15,32274
16,16,1,15,32512
16,16,1,15,32488
16,16,1,15,32371
16,16,1,15,32411
16,15,1,16,32407
16,16,1,15,32301
16,15,1,16,32492
16,15,1,16,32205
16,15,1,16,32479
16,16,1,15,32458
17,16,1,17,32332
17,16,1,17,32695
16,16,1,15,32327
16,16,1,15,32551
15,15,1,15,32440
15,15,1,15,32317
15,15,1,15,32441
16,16,1,15,32413
16,16,1,15,32359
16,16,1,16,32532
16,16,1,15,32487
16,16,1,15,32277
16,16,1,16,32529
16,16,1,15,32408
17,16,1,17,32628
16,16,1,15,32375
16,16,1,15,32588
16,15,1,16,32363
16,15,1,16,32500
16,16,1,15,32393
16,16,1,15,32315
16,15,1,16,32505
15,15,1,15,32405
16,15,1,16,32467
16,16,1,15,32481
16,16,1,15,32474
16,15,1,16,32328
16,16,1,15,32273
15,15,1,15,32467
16,16,1,15,32558
17,16,1,17,32712
16,16,1,15,32302
16,16,1,15,32184
16,16,1,15,32208
16,16,1,15,32393
16,15,1,16,32380
16,16,1,15,32373
16,16,1,15,32475
16,16,1,15,32226
16,16,1,15,32484
16,15,1,16,32328
16,8,1,16,32458
16,16,1,15,32499
